GeneSymbol,logFC,t,P.Value,adj.P.Val
LOC102549783,-0.5373735172026883,-6.570374099672294,6.733604490251431e-10,7.876579888870341e-09
Rad51,0.6503426868535769,6.536899379899606,6.858875688564353e-10,8.01058853837715e-09
Slc25a4,0.7404337436338455,6.7930072900913,6.974242844365087e-10,8.11511544599796e-09
Dhtkd1,-0.5091964850863153,-6.800200155959206,6.978246022348465e-10,8.11511544599796e-09
Myo5a,0.5923959369760565,6.728624094097812,7.504001837035981e-10,8.68270467779546e-09
Gckr,-0.7118673397849982,-6.780305681966968,7.527290340030114e-10,8.696200060014713e-09
Thrsp,-1.1355286234103072,-6.749165384380248,8.550432509666034e-10,9.735389709064957e-09
Cd63,0.5037827473721954,6.522053515197443,8.929291313530408e-10,1.0112878678404877e-08
Albfm1,-0.6524780545360649,-6.652914540891425,9.039001994310578e-10,1.0229387960429694e-08
Slc30a10,-0.6330356565006898,-6.739966387917298,9.52028525870315e-10,1.0717305323962215e-08
Ppic,0.5334366651628901,6.68468315663546,1.085227897326931e-09,1.208042750886028e-08
Hsd3b5,-1.2320717706886501,-6.640613745330063,1.161650220028531e-09,1.2864136892558735e-08
Aldh1l1,-0.5330252862763114,-6.624286066279808,1.2340796139106275e-09,1.3622041390235756e-08
Dcxr,-0.5380747978541827,-6.605893050686023,1.3123184767953322e-09,1.4383587348963346e-08
Cd74,0.515573443310867,6.370501494642542,1.5053845356774008e-09,1.6261413746043027e-08
Mrpl38,0.5005108303092429,6.369834911788547,1.507457529829483e-09,1.6272057794934267e-08
Myc,0.8886267963141767,6.384721543335556,1.51347425192293e-09,1.6313464180849393e-08
Ddc,-0.523225807586055,-6.595180507535812,1.557242478654886e-09,1.673700051950844e-08
Il33,-0.5925472247875581,-6.442637295079068,2.099117362324341e-09,2.183928710551771e-08
Ca3,-1.6652699442262549,-6.5363020411408295,2.2854160104220275e-09,2.3548284388377376e-08
Cyp2j3,-0.6093958719037698,-6.554034015403521,2.2965419242935747e-09,2.363037395416518e-08
Slco2b1,-0.600991687483658,-6.456212029902326,2.5305196907553447e-09,2.57195007427926e-08
Dpys,-0.5858463185371292,-6.548330912552368,2.7374456455859944e-09,2.763490168934687e-08
Gstm5,0.7350459648704417,6.385905396680727,2.858273467588145e-09,2.868050258121143e-08
Efna1,-0.528240384491518,-6.261944585996919,2.9348522018156423e-09,2.9370116248403898e-08
Mup5,-0.6142877166766789,-6.342832318131754,3.0506668641774787e-09,3.0366618067171824e-08
Dhrs7l1,-2.0936621326127227,-6.362317241001065,3.078308342852071e-09,3.058072451355235e-08
Lrp1,-0.5016796169747106,-6.3662132465221095,3.4142843674420794e-09,3.3473858729555017e-08
Ndrg2,-0.7255295556536776,-6.514966457333826,3.4323752362918134e-09,3.360717664277606e-08
Paqr9,-0.9204398495613653,-6.298250594154607,3.500216103365215e-09,3.420426722563487e-08
Dlg5l,-0.5674648375261651,-6.269878709735692,3.6183192286044727e-09,3.524327733017677e-08
Acy3,-0.5012885326491192,-6.2033417719122825,3.6384533331104213e-09,3.5393303196791296e-08
Acox2,-0.7538156928313011,-6.222522746228372,3.658699210264507e-09,3.554402524984889e-08
Ces2c,0.5710728561219378,6.288254595361054,3.79853140876644e-09,3.666440542358368e-08
Nol3,0.5780988694656068,6.3885060464772865,3.863714640403467e-09,3.719757704959863e-08
Plscr1,0.6793458124081742,6.262611536152354,4.033438910230401e-09,3.8707042678612586e-08
Akr1c1,-1.0830780667737123,-6.275472555216413,4.435780581681634e-09,4.1869850651444115e-08
Dpp7,0.5984369550413655,6.354769740017741,4.7750956098217925e-09,4.4678052169195647e-08
Adra1b,-0.5036358579333395,-6.351141810917254,5.288159739297956e-09,4.895801847749797e-08
Mbl1,-0.538751340813544,-6.340845004310337,5.4324159709745455e-09,5.010750637592489e-08
Mst1,-0.608907884137869,-6.351381140840771,5.583669154552488e-09,5.1281322419435096e-08
Fabp4,0.8222083482570195,6.243849556533695,5.6371356497917785e-09,5.164555202482229e-08
Hnrnpa1,0.539995987506285,6.133313342585088,6.201650153421689e-09,5.6163975753838916e-08
Igfals,-0.5940372035464385,-6.278946487131072,7.131308540645279e-09,6.346907024187628e-08
Cdkn1a,0.6878802385456622,6.09810671097075,7.4471333249614835e-09,6.565501571876768e-08
Slc6a6,-0.5717232321496493,-6.05590922980647,7.661170831833063e-09,6.734358214750555e-08
Gpx3,0.5604523539140907,6.288513744524587,8.219903669618904e-09,7.17475174685244e-08
Kif20b,0.5676131152565453,6.052306489213917,8.785656369479685e-09,7.589041855876764e-08
Cyp1a2,-0.7181009955754973,-6.230171049052779,9.548698254495315e-09,8.17265872914785e-08
Hmgcr,0.6304067424008721,6.098795305138772,9.929480740479218e-09,8.450225333237177e-08
Kif22,0.5546765400489688,6.020624020190919,1.068765708081746e-08,9.003267882100788e-08
Slc25a24,0.5361260342130088,6.122121604130111,1.0792771979031105e-08,9.071385481926088e-08
Serpina3m,-0.5747702192121071,-6.124348368797569,1.1028919098605537e-08,9.238726687247336e-08
Lin7a,-0.5642677383909005,-6.043117645381834,1.1461081942397391e-08,9.557929037915683e-08
Ppp1r15a,0.5462688060408158,6.2146854096467825,1.161281829149261e-08,9.673684546716089e-08
